TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,Target
521.06,721,1,0,1,25.0,3,128.0,1.0,1951.42,347,18-30,0
117.28,259,0,2,2,60.0,1,16.0,1.0,3665.77,49,50-60,2
189.12,2123,0,16,1,32.0,1,103.0,1.0,977.01,140,30-40,0
133.55,1300,1,1,0,44.0,1,220.0,1.0,3846.28,236,40-50,2
143.21,92,1,9,2,35.0,1,135.0,1.0,6374.82,184,30-40,1
24.77,1222,1,4,0,62.0,2,55.0,1.0,5866.01,352,60+,2
233.92,1976,0,17,2,26.0,3,280.0,1.0,6537.62,143,18-30,0
1212.51,1849,1,16,1,20.0,3,24.0,1.0,605.95,29,18-30,0
232.12,2461,1,13,0,37.0,1,51.0,1.0,6689.87,175,30-40,1
211.36,1075,1,18,2,22.0,3,113.0,1.0,634.17,120,18-30,0
91.53,499,1,25,1,44.0,0,69.0,1.0,14676.05,313,40-50,1
120.29,2391,1,24,1,19.0,3,77.0,1.0,1362.39,28,18-30,0
174.25,1298,1,39,2,50.0,0,67.0,1.0,10528.34,247,40-50,1
183.71,1125,1,10,0,38.0,1,102.0,1.0,552.52,209,30-40,0
345.39,2472,0,31,1,58.0,1,80.0,1.0,6451.96,114,50-60,2
922.55,145,1,11,0,63.0,2,87.0,1.0,4715.84,284,60+,2
259.91,2076,1,10,2,49.0,0,170.0,1.0,7176.86,196,40-50,1
154.71,1204,1,36,2,34.0,0,157.0,1.0,1523.72,200,30-40,0
1340.19,1825,0,2,2,54.0,1,30.0,1.0,8654.28,31,50-60,1
24.56,1977,1,23,1,64.0,0,69.0,1.0,9869.93,342,60+,1
568.07,1585,1,42,0,48.0,0,115.0,1.0,10556.81,70,40-50,1
9.61,1149,0,36,2,58.0,0,179.0,1.0,12883.91,168,50-60,1
392.96,2166,1,18,2,24.0,3,100.0,1.0,791.65,136,18-30,0
716.93,1711,0,25,2,60.0,2,34.0,1.0,4064.02,110,50-60,2
223.85,1834,1,18,0,53.0,1,55.0,4.0,2929.91,99,50-60,2
230.66,592,1,15,1,21.0,3,135.0,1.0,618.05,261,18-30,0
442.12,2408,1,20,2,19.0,3,260.0,1.0,1375.8,119,18-30,0
644.17,430,1,35,0,29.0,1,72.0,1.0,1143.52,102,18-30,0
508.68,1160,0,23,1,51.0,1,127.0,1.0,7708.41,190,50-60,1
858.63,719,0,37,1,27.0,3,185.0,1.0,1872.96,264,18-30,0
25.36,1293,1,21,0,57.0,1,78.0,1.0,201.04,282,50-60,2
147.62,1622,1,5,1,71.0,2,133.0,1.0,2115.8,60,60+,2
115.02,1680,1,35,1,37.0,0,175.0,1.0,7643.66,136,30-40,1
383.37,162,1,13,1,30.0,1,24.0,1.0,8901.93,284,18-30,1
98.54,1469,0,12,2,20.0,3,167.0,1.0,9383.43,220,18-30,1
83.24,1942,1,13,1,55.0,0,164.0,1.0,1181.31,269,50-60,2
196.16,377,1,41,1,27.0,1,146.0,1.0,9418.86,130,18-30,1
129.94,9,1,19,0,32.0,1,235.0,1.0,7954.92,13,30-40,1
306.9,2265,1,7,2,46.0,1,51.0,1.0,9418.08,265,40-50,1
114.98,2052,1,39,2,59.0,2,80.0,1.0,6144.68,182,50-60,2
756.59,457,1,34,1,27.0,3,17.0,1.0,420.65,317,18-30,0
503.76,2245,1,20,2,22.0,3,35.0,1.0,447.82,180,18-30,0
143.03,1384,1,35,0,63.0,2,147.0,1.0,7981.45,259,60+,2
1045.22,2195,1,8,0,53.0,2,73.0,1.0,1829.9,73,50-60,2
245.54,555,1,27,0,25.0,3,180.0,1.0,985.06,244,18-30,0
254.37,732,0,9,2,51.0,1,174.0,1.0,8849.26,34,50-60,1
213.76,429,0,9,0,78.0,2,282.0,1.0,3528.72,194,60+,2
327.86,267,1,14,2,40.0,1,104.0,1.0,480.16,8,30-40,0
2.5,1320,1,36,2,47.0,0,107.0,1.0,12145.27,211,40-50,1
300.08,1875,0,2,2,68.0,0,47.0,1.0,13546.75,355,60+,1
56.98,2479,0,28,0,43.0,1,122.0,2.0,5688.37,80,40-50,1
407.65,1236,1,4,2,26.0,1,62.0,1.0,8346.64,0,18-30,1
115.83,928,1,14,1,39.0,1,167.0,1.0,6481.04,220,30-40,1
53.57,1508,1,15,0,69.0,2,121.0,1.0,1651.33,141,60+,2
63.34,2155,0,11,2,46.0,0,165.0,1.0,11174.94,231,40-50,1
317.87,2472,1,11,2,27.0,3,91.0,1.0,145.5,309,18-30,0
331.65,1568,1,32,2,41.0,1,61.0,1.0,4172.57,277,40-50,0
5.04,2231,1,42,0,56.0,2,41.0,1.0,5558.36,265,50-60,2
214.54,1414,0,11,2,70.0,0,247.0,1.0,11151.53,333,60+,1
598.81,1633,1,30,1,57.0,0,158.0,1.0,1415.52,231,50-60,2
841.28,1452,1,40,2,26.0,3,80.0,1.0,1103.64,216,18-30,0
38.15,1661,1,23,2,26.0,3,108.0,1.0,303.68,80,18-30,0
1036.66,1265,1,35,1,58.0,0,144.0,1.0,5541.57,182,50-60,2
124.72,1208,1,28,1,33.0,1,105.0,1.0,6309.8,63,30-40,1
302.45,1795,0,35,1,78.0,2,40.0,1.0,5133.61,332,60+,2
208.04,2179,1,21,2,47.0,1,273.0,1.0,9344.98,143,40-50,1
5.77,2159,0,20,1,23.0,3,254.0,1.0,1117.97,270,18-30,0
381.33,1530,1,0,0,56.0,0,75.0,1.0,11835.35,190,50-60,1
16.16,1932,1,25,0,50.0,0,124.0,1.0,14401.17,336,40-50,1
486.08,1130,1,28,2,18.0,3,68.0,1.0,1748.69,41,<18,0
336.39,101,1,35,1,21.0,3,18.0,1.0,1000.46,215,18-30,0
997.43,2193,1,39,2,69.0,0,118.0,1.0,6810.05,123,60+,2
234.57,1617,1,6,2,23.0,3,120.0,1.0,263.98,145,18-30,0
6.0,1997,1,6,2,30.0,0,246.0,1.0,5442.76,201,18-30,0
1049.92,1989,1,11,0,80.0,2,21.0,1.0,2037.85,252,60+,2
227.14,1210,1,5,0,18.0,3,294.0,1.0,341.94,311,<18,0
233.74,2002,0,28,2,66.0,2,17.0,1.0,1066.59,294,60+,2
211.36,1790,0,17,1,69.0,2,166.0,1.0,6077.96,59,60+,2
45.85,316,1,20,0,20.0,3,92.0,1.0,1659.15,62,18-30,0
973.39,1606,1,34,1,77.0,2,296.0,1.0,2042.22,321,60+,2
211.36,694,1,27,2,41.0,0,142.0,5.0,421.93,219,40-50,0
415.5,1372,1,22,0,66.0,0,141.0,1.0,10113.66,241,60+,1
265.76,240,1,30,2,54.0,2,92.0,1.0,4446.17,355,50-60,2
69.4,1344,1,41,2,80.0,2,113.0,1.0,6452.77,162,60+,2
332.93,2170,0,0,1,35.0,1,293.0,1.0,2788.2,112,30-40,0
267.9,1874,1,35,2,20.0,3,160.0,1.0,596.16,132,18-30,0
496.03,2065,1,37,1,61.0,0,265.0,1.0,12904.66,199,60+,1
376.26,308,1,40,0,37.0,1,245.0,1.0,9062.4,216,30-40,1
83.02,1641,0,39,2,36.0,1,171.0,1.0,9009.56,278,30-40,1
93.26,1364,0,27,2,20.0,3,72.0,1.0,1152.2,341,18-30,0
803.37,703,0,22,1,68.0,0,129.0,1.0,12168.37,138,60+,1
35.76,1749,1,5,1,23.0,3,122.0,1.0,611.86,317,18-30,0
28.53,989,1,42,2,62.0,0,99.0,1.0,8670.53,8,60+,2
139.53,1876,0,21,2,53.0,0,177.0,1.0,10098.86,69,50-60,1
307.57,52,1,11,1,33.0,0,285.0,1.0,5307.74,11,30-40,0
60.65,964,0,40,1,56.0,2,53.0,1.0,1047.28,180,50-60,2
74.86,1497,1,26,1,70.0,0,125.0,1.0,6921.48,77,60+,2
211.36,2218,1,18,1,51.0,2,137.0,1.0,1475.46,179,50-60,2
231.91,204,1,22,0,34.0,1,165.0,1.0,112.76,352,30-40,0
126.21,297,1,3,1,75.0,2,268.0,1.0,5669.66,140,60+,2
506.28,798,0,6,2,53.0,2,162.0,2.0,1309.95,167,50-60,2
304.35,2295,1,15,1,31.0,1,36.0,1.0,4057.1,143,30-40,0
281.85,890,1,11,0,22.0,3,109.0,1.0,1585.98,76,18-30,0
777.88,544,1,15,1,31.0,1,17.0,1.0,6825.55,173,30-40,1
119.18,1571,1,20,1,56.0,2,96.0,1.0,5516.5,72,50-60,2
177.19,876,1,6,2,76.0,2,43.0,1.0,5343.3,8,60+,2
260.88,970,1,10,1,22.0,3,36.0,1.0,903.05,30,18-30,0
169.47,560,1,6,2,24.0,3,19.0,1.0,1806.16,75,18-30,0
73.23,905,1,32,1,26.0,3,14.0,1.0,787.74,289,18-30,0
1362.55,270,1,12,0,29.0,1,106.0,1.0,2429.68,282,18-30,0
792.57,916,1,3,0,19.0,3,164.0,1.0,770.37,256,18-30,0
237.06,2381,1,31,2,71.0,2,46.0,1.0,1182.77,88,60+,2
34.17,2189,0,30,2,54.0,1,54.0,1.0,726.55,7,50-60,2
740.25,1310,1,30,2,41.0,0,123.0,1.0,14464.3,125,40-50,1
453.54,723,1,0,0,58.0,0,82.0,1.0,12046.3,343,50-60,1
300.47,2116,1,17,1,73.0,2,100.0,1.0,7885.64,98,60+,2
110.93,656,0,41,1,19.0,3,201.0,1.0,1952.35,270,18-30,0
201.69,22,1,19,0,59.0,0,299.0,1.0,7328.52,234,50-60,2
399.21,181,1,32,0,59.0,1,109.0,1.0,3210.39,119,50-60,2
1041.88,1657,1,17,2,78.0,2,57.0,1.0,5726.2,22,60+,2
630.36,434,1,23,0,62.0,2,52.0,1.0,1363.65,352,60+,2
10.94,1993,0,30,0,60.0,1,245.0,1.0,1241.99,330,50-60,2
215.9,28,1,20,0,38.0,0,235.0,1.0,7873.28,241,30-40,1
1422.55,1259,1,42,1,79.0,2,165.0,1.0,5674.32,28,60+,2
226.37,1735,1,21,1,49.0,0,141.0,1.0,9840.04,214,40-50,1
444.89,1683,0,19,1,43.0,0,101.0,1.0,10328.23,327,40-50,1
280.57,174,0,41,2,25.0,3,24.0,1.0,293.24,242,18-30,0
488.54,1211,1,17,1,52.0,1,132.0,1.0,7486.63,64,50-60,1
3.3,577,0,20,1,50.0,0,131.0,1.0,11385.37,229,40-50,1
199.39,1526,1,7,1,69.0,2,165.0,1.0,7264.79,164,60+,2
20.36,1338,1,40,1,62.0,2,75.0,1.0,2762.48,292,60+,2
113.64,2005,1,11,2,45.0,2,32.0,1.0,6675.03,93,40-50,1
493.11,1380,1,7,1,53.0,2,236.0,1.0,7432.99,99,50-60,1
307.41,1073,1,20,0,19.0,3,14.0,1.0,1057.0,206,18-30,0
11.18,2267,1,1,2,43.0,0,161.0,1.0,5956.89,238,40-50,1
313.82,2147,1,40,1,59.0,1,151.0,1.0,7261.59,140,50-60,2
51.0,177,1,39,1,64.0,2,107.0,1.0,4943.16,121,60+,2
140.98,954,1,22,1,60.0,1,100.0,1.0,8127.48,350,50-60,2
288.04,1558,1,10,0,68.0,2,63.0,1.0,1748.02,218,60+,2
800.55,805,1,28,0,31.0,1,108.0,1.0,9660.22,27,30-40,1
485.54,238,1,15,0,46.0,1,143.0,1.0,6371.51,323,40-50,1
521.15,327,1,18,0,54.0,0,214.0,1.0,9442.47,69,50-60,1
321.79,1435,0,33,0,63.0,2,112.0,1.0,5959.2,219,60+,2
304.93,375,1,32,0,65.0,0,158.0,1.0,13531.22,113,60+,1
432.08,1377,1,12,0,40.0,0,145.0,1.0,11500.62,323,30-40,1
694.2,2320,1,25,0,61.0,2,72.0,1.0,1389.37,61,60+,2
116.86,552,1,21,0,55.0,1,171.0,1.0,6706.56,352,50-60,2
211.36,448,0,11,1,57.0,0,149.0,1.0,7175.29,267,50-60,2
74.88,950,1,1,0,25.0,3,202.0,1.0,420.67,84,18-30,0
211.36,915,1,30,1,75.0,2,99.0,1.0,7323.53,206,60+,2
134.7,1524,1,13,0,50.0,0,106.0,1.0,8395.85,284,40-50,1
890.24,1243,0,19,2,33.0,1,161.0,1.0,5140.93,70,30-40,0
361.27,41,1,29,0,63.0,0,180.0,1.0,7945.57,225,60+,2
131.56,1968,1,5,1,44.0,0,42.0,1.0,5873.54,50,40-50,1
485.51,2251,0,25,2,76.0,2,37.0,1.0,3074.45,100,60+,2
547.87,1256,1,8,0,64.0,2,131.0,1.0,6155.76,249,60+,2
457.3,1172,1,41,2,28.0,1,15.0,1.0,8318.29,91,18-30,1
506.24,91,1,6,0,58.0,1,64.0,1.0,230.09,317,50-60,2
486.59,2395,1,16,1,57.0,2,119.0,1.0,2513.56,220,50-60,2
163.68,1817,1,36,1,41.0,0,292.0,1.0,10090.05,278,40-50,1
581.65,61,1,4,0,22.0,3,176.0,1.0,480.19,197,18-30,0
52.01,2090,1,23,0,48.0,0,85.0,1.0,1120.88,304,40-50,2
630.24,2262,1,4,0,21.0,3,62.0,1.0,370.81,329,18-30,0
523.74,2060,1,28,0,43.0,0,159.0,1.0,13498.55,30,40-50,1
705.6,346,1,31,1,40.0,0,124.0,3.0,14804.7,162,30-40,1
217.5,2000,0,10,1,46.0,1,35.0,1.0,3057.4,36,40-50,2
91.48,148,1,13,0,51.0,0,141.0,1.0,14942.78,175,50-60,1
5.25,2132,1,38,0,39.0,0,49.0,1.0,14143.32,359,30-40,1
54.03,1747,0,25,0,56.0,2,161.0,1.0,6736.3,74,50-60,2
736.73,2220,1,22,1,48.0,1,10.0,1.0,3313.07,271,40-50,2
368.91,489,1,41,1,54.0,0,14.0,1.0,829.71,246,50-60,2
33.06,111,0,13,2,53.0,2,170.0,1.0,1540.87,21,50-60,2
66.5,809,0,21,2,32.0,1,144.0,1.0,6820.23,104,30-40,1
177.08,42,1,19,1,35.0,0,85.0,1.0,13475.14,358,30-40,1
588.54,241,1,32,1,32.0,1,130.0,1.0,714.45,254,30-40,0
173.5,1991,1,26,0,21.0,3,282.0,1.0,1306.91,329,18-30,0
78.33,1378,0,22,2,56.0,1,189.0,1.0,7255.33,116,50-60,2
40.66,2474,1,21,1,59.0,2,156.0,1.0,1153.84,305,50-60,2
97.22,344,0,1,1,77.0,2,55.0,1.0,6647.73,294,60+,2
34.07,2082,1,30,1,22.0,3,81.0,1.0,8709.77,59,18-30,1
492.06,1965,1,14,2,23.0,3,74.0,1.0,857.9,214,18-30,0
842.01,1696,0,41,2,53.0,0,185.0,1.0,509.45,131,50-60,2
73.55,50,1,1,0,51.0,1,158.0,1.0,2812.06,298,50-60,2
760.53,1642,1,31,2,57.0,1,118.0,1.0,6179.91,193,50-60,2
273.08,180,0,15,1,45.0,1,134.0,1.0,6609.3,95,40-50,1
371.69,2414,1,37,1,67.0,2,143.0,1.0,3484.32,217,60+,2
218.96,1605,1,39,0,18.0,3,13.0,1.0,754.21,253,<18,0
227.39,2429,1,1,2,18.0,3,65.0,1.0,751.09,313,<18,0
237.99,831,0,18,1,39.0,0,86.0,1.0,8510.09,313,30-40,1
186.6,1219,1,13,2,58.0,0,13.0,1.0,1508.72,2,50-60,2
341.15,288,1,38,2,18.0,3,148.0,1.0,511.37,227,<18,0
434.58,1656,1,22,0,59.0,0,215.0,1.0,12648.32,113,50-60,1
312.88,963,0,32,1,54.0,1,44.0,1.0,233.21,61,50-60,2
75.15,1738,1,4,0,23.0,3,154.0,1.0,1092.92,277,18-30,0
23.3,1500,1,20,0,59.0,1,161.0,1.0,6711.15,104,50-60,2
47.38,253,0,39,2,25.0,3,61.0,1.0,459.37,43,18-30,0
512.81,1309,1,34,1,79.0,2,30.0,1.0,6994.34,335,60+,2
488.15,1376,1,21,1,43.0,1,168.0,1.0,7071.09,290,40-50,1
12.82,647,1,13,0,44.0,1,156.0,1.0,9045.19,123,40-50,1
66.9,709,0,5,2,79.0,2,129.0,4.0,5238.71,256,60+,2
535.91,1237,1,19,2,43.0,1,22.0,1.0,9642.12,266,40-50,1
270.72,1213,0,42,2,26.0,1,53.0,1.0,6263.96,282,18-30,0
97.98,223,1,10,1,72.0,2,18.0,1.0,7460.33,141,60+,2
196.08,1567,1,37,2,61.0,2,98.0,1.0,4233.82,9,60+,2
251.18,995,1,38,0,42.0,1,246.0,1.0,8303.9,93,40-50,1
44.52,598,1,12,2,28.0,3,205.0,1.0,314.28,246,18-30,0
178.87,941,1,3,2,35.0,0,180.0,1.0,5241.23,234,30-40,0
1176.28,2398,0,18,0,54.0,1,174.0,5.0,323.69,321,50-60,2
386.68,2045,1,27,1,46.0,0,128.0,1.0,6863.06,6,40-50,1
167.14,754,1,10,2,76.0,2,20.0,1.0,3877.73,4,60+,2
345.22,1648,1,14,1,69.0,2,253.0,1.0,4046.58,74,60+,2
74.85,2435,1,33,0,72.0,2,117.0,1.0,2409.73,326,60+,2
671.73,1918,1,42,1,58.0,1,54.0,1.0,5211.88,341,50-60,2
255.04,2200,1,39,0,45.0,1,152.0,1.0,6217.86,315,40-50,1
45.77,261,1,30,2,25.0,3,109.0,1.0,5978.12,99,18-30,0
329.69,60,0,35,2,26.0,3,66.0,1.0,1671.66,207,18-30,0
362.04,1249,0,30,1,58.0,0,198.0,2.0,8421.88,145,50-60,1
11.92,1879,1,36,1,53.0,0,52.0,1.0,14611.9,299,50-60,1
47.42,2394,1,36,0,64.0,0,28.0,1.0,8253.52,154,60+,2
35.99,130,1,24,1,63.0,2,129.0,1.0,4489.79,175,60+,2
151.19,815,0,27,1,37.0,0,96.0,1.0,11903.82,293,30-40,1
242.62,1251,0,37,2,22.0,3,234.0,1.0,483.02,47,18-30,0
48.72,1828,1,41,1,21.0,3,17.0,1.0,816.08,65,18-30,0
43.46,1323,1,4,0,25.0,3,80.0,1.0,578.06,262,18-30,0
1036.21,1325,1,29,2,25.0,3,126.0,1.0,477.3,359,18-30,0
443.79,1882,1,19,0,53.0,2,87.0,1.0,3133.85,293,50-60,2
365.14,2280,1,9,2,68.0,2,57.0,1.0,5894.09,63,60+,2
757.41,817,1,20,0,22.0,3,37.0,1.0,9532.42,161,18-30,1
20.54,1541,1,13,1,51.0,1,72.0,1.0,5327.03,66,50-60,2
475.36,1829,1,31,0,34.0,1,105.0,1.0,2000.6,37,30-40,0
34.74,1163,1,37,0,56.0,2,24.0,1.0,6827.57,280,50-60,2
689.54,456,1,28,1,27.0,3,93.0,1.0,1633.76,151,18-30,0
211.18,1914,1,42,0,73.0,2,90.0,1.0,4069.17,327,60+,2
211.36,2186,0,13,1,51.0,1,286.0,1.0,7943.47,287,50-60,1
744.41,1383,0,15,2,39.0,1,107.0,1.0,8842.47,304,30-40,1
61.43,1192,1,31,2,24.0,3,170.0,1.0,1882.77,116,18-30,0
167.44,1778,1,23,1,37.0,0,82.0,1.0,12526.71,266,30-40,1
361.46,659,1,26,2,21.0,3,83.0,1.0,4737.84,259,18-30,0
378.85,1106,1,41,1,78.0,2,126.0,1.0,2300.53,165,60+,2
241.11,1105,1,8,1,30.0,0,55.0,1.0,12385.05,266,18-30,1
131.93,1689,0,13,1,31.0,1,13.0,1.0,4547.06,28,30-40,0
20.28,1313,1,28,2,36.0,1,213.0,1.0,2047.83,220,30-40,0
415.88,771,1,36,1,70.0,0,170.0,1.0,10008.33,99,60+,2
49.99,262,1,29,0,62.0,2,112.0,1.0,2299.64,113,60+,2
1221.65,1812,1,10,2,27.0,3,153.0,1.0,243.92,258,18-30,0
100.66,2472,1,9,1,50.0,0,144.0,1.0,14473.33,331,40-50,1
485.54,2330,1,21,2,19.0,3,148.0,1.0,1533.32,286,18-30,0
321.15,268,1,20,1,46.0,0,179.0,1.0,7005.05,11,40-50,1
711.3,1176,1,38,1,21.0,3,51.0,1.0,955.4,190,18-30,0
12.23,1897,1,15,0,42.0,1,139.0,1.0,7844.88,67,40-50,1
350.94,2034,1,7,0,20.0,3,64.0,1.0,221.56,253,18-30,0
301.85,720,1,8,2,54.0,1,25.0,1.0,6586.19,223,50-60,2
29.34,480,1,21,2,65.0,2,30.0,1.0,3944.82,319,60+,2
231.71,747,1,33,1,27.0,3,148.0,1.0,1127.98,40,18-30,0
179.43,1478,1,28,0,58.0,2,244.0,1.0,2626.63,218,50-60,2
36.71,188,1,17,1,48.0,0,55.0,1.0,6459.38,321,40-50,1
138.12,683,0,20,1,53.0,0,281.0,1.0,1649.69,300,50-60,2
233.24,711,1,21,0,33.0,1,72.0,1.0,6939.23,77,30-40,1
609.14,2198,1,40,0,39.0,1,177.0,1.0,9033.87,310,30-40,1
436.64,2442,1,20,1,31.0,0,111.0,1.0,14365.18,121,30-40,1
870.43,991,1,20,1,29.0,0,55.0,1.0,10115.18,90,18-30,1
354.4,2083,1,6,0,74.0,2,128.0,1.0,7358.65,218,60+,2
22.63,342,1,18,2,53.0,1,112.0,1.0,4438.03,273,50-60,2
182.19,1115,1,23,1,26.0,3,53.0,1.0,1176.1,5,18-30,0
126.81,2032,1,30,1,26.0,1,290.0,1.0,5427.98,359,18-30,0
288.17,1671,1,41,2,37.0,1,50.0,1.0,3653.11,234,30-40,0
118.77,1835,1,1,1,55.0,1,123.0,1.0,2104.82,247,50-60,2
651.82,700,1,16,0,21.0,3,166.0,1.0,1802.77,40,18-30,0
66.65,1950,1,11,0,37.0,1,33.0,1.0,3559.96,277,30-40,0
98.53,97,1,10,1,69.0,2,166.0,1.0,3564.8,296,60+,2
138.95,1001,1,42,2,71.0,2,30.0,1.0,6752.92,135,60+,2
33.89,2108,1,26,1,26.0,3,177.0,1.0,1444.75,313,18-30,0
23.71,1723,1,1,1,58.0,0,164.0,1.0,10788.89,174,50-60,1
1830.0,424,1,35,2,55.0,1,238.0,1.0,2235.7,336,50-60,2
26.06,2410,1,36,0,65.0,0,283.0,1.0,12893.63,337,60+,1
17.07,788,1,20,1,27.0,1,44.0,1.0,2798.15,302,18-30,0
703.89,1772,1,35,2,46.0,1,62.0,1.0,3583.67,22,40-50,2
1271.9,1582,1,15,0,47.0,1,155.0,1.0,2120.8,185,40-50,2
26.55,1757,1,15,0,77.0,2,228.0,1.0,3085.38,61,60+,2
147.4,1053,1,38,1,42.0,1,259.0,1.0,6797.71,56,40-50,1
202.11,606,1,22,0,27.0,3,18.0,1.0,746.47,219,18-30,0
308.42,796,1,26,1,75.0,2,39.0,1.0,5427.81,12,60+,2
11.18,397,1,24,0,53.0,1,144.0,1.0,7467.3,274,50-60,1
294.15,208,1,14,2,38.0,1,136.0,1.0,6362.16,58,30-40,1
29.58,2038,1,7,1,54.0,1,112.0,1.0,8345.26,278,50-60,1
